,StudentNumber,DPS_HomeLg,CYI_Lat,CYI_Deg,Disability,GT_C,FRL_C,Sect504_C,SPED_C,t_grade,time_t,time_t1
595,603792,0.0,0.0,0.0,1.0,0.0,0.818181818,0.0,0.909090909,7,504,502
596,604312,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,3,578,582
597,604312,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,4,582,621
598,604312,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,5,621,620
599,604312,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,6,620,657
600,604312,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,9,686,668
601,606402,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3,420,533
602,606402,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4,533,557
603,606402,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5,557,590
604,606402,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6,590,593
605,606402,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7,593,626
606,606402,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8,626,634
609,609381,0.0,0.0,0.0,0.0,0.0,0.846153846,0.7692307690000001,0.0,3,554,544
610,609381,0.0,0.0,0.0,0.0,0.0,0.846153846,0.7692307690000001,0.0,4,544,607
611,609381,0.0,0.0,0.0,0.0,0.0,0.846153846,0.7692307690000001,0.0,5,607,618
612,609381,0.0,0.0,0.0,0.0,0.0,0.846153846,0.7692307690000001,0.0,6,618,625
613,609381,0.0,0.0,0.0,0.0,0.0,0.846153846,0.7692307690000001,0.0,7,625,653
614,609381,0.0,0.0,0.0,0.0,0.0,0.846153846,0.7692307690000001,0.0,8,653,686
615,609381,0.0,0.0,0.0,0.0,0.0,0.846153846,0.7692307690000001,0.0,9,686,662
616,610397,1.0,1.0,0.0,0.0,0.0,0.928571429,0.0,0.7142857140000001,4,593,604
617,610397,1.0,1.0,0.0,0.0,0.0,0.928571429,0.0,0.7142857140000001,5,604,634
618,610397,1.0,1.0,0.0,0.0,0.0,0.928571429,0.0,0.7142857140000001,6,634,666
619,610397,1.0,1.0,0.0,0.0,0.0,0.928571429,0.0,0.7142857140000001,7,666,652
620,610397,1.0,1.0,0.0,0.0,0.0,0.928571429,0.0,0.7142857140000001,8,652,672
621,610397,1.0,1.0,0.0,0.0,0.0,0.928571429,0.0,0.7142857140000001,9,672,738
622,610671,0.0,1.0,0.0,0.0,0.0,0.933333333,0.0,0.666666667,3,413,525
623,610671,0.0,1.0,0.0,0.0,0.0,0.933333333,0.0,0.666666667,4,525,574
624,610671,0.0,1.0,0.0,0.0,0.0,0.933333333,0.0,0.666666667,5,574,582
625,610671,0.0,1.0,0.0,0.0,0.0,0.933333333,0.0,0.666666667,6,582,591
626,610671,0.0,1.0,0.0,0.0,0.0,0.933333333,0.0,0.666666667,7,591,622
627,610671,0.0,1.0,0.0,0.0,0.0,0.933333333,0.0,0.666666667,8,622,604
628,610701,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.857142857,3,509,589
629,610701,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.857142857,4,589,579
630,610701,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.857142857,5,579,607
631,610701,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.857142857,6,607,608
632,610701,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.857142857,7,608,666
633,610701,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.857142857,8,666,649
634,610701,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.857142857,9,649,690
635,611292,1.0,1.0,1.0,0.0,0.0,0.8,0.0,1.0,3,463,399
636,611292,1.0,1.0,1.0,0.0,0.0,0.8,0.0,1.0,4,399,494
637,611292,1.0,1.0,1.0,0.0,0.0,0.8,0.0,1.0,5,494,461
638,611292,1.0,1.0,1.0,0.0,0.0,0.8,0.0,1.0,6,461,535
639,611292,1.0,1.0,1.0,0.0,0.0,0.8,0.0,1.0,7,535,545
640,611292,1.0,1.0,1.0,0.0,0.0,0.8,0.0,1.0,8,545,593
641,611442,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.666666667,3,418,536
642,611442,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.666666667,4,536,498
643,613215,0.0,1.0,1.0,0.0,0.0,0.846153846,0.0,1.0,3,150,395
644,613215,0.0,1.0,1.0,0.0,0.0,0.846153846,0.0,1.0,4,395,446
645,613215,0.0,1.0,1.0,0.0,0.0,0.846153846,0.0,1.0,5,446,260
646,613215,0.0,1.0,1.0,0.0,0.0,0.846153846,0.0,1.0,6,260,414
647,613215,0.0,1.0,1.0,0.0,0.0,0.846153846,0.0,1.0,7,414,330
648,613215,0.0,1.0,1.0,0.0,0.0,0.846153846,0.0,1.0,8,330,572
649,615745,1.0,1.0,0.0,0.0,0.222222222,0.0,0.666666667,0.0,3,655,628
650,615745,1.0,1.0,0.0,0.0,0.222222222,0.0,0.666666667,0.0,4,628,655
651,615745,1.0,1.0,0.0,0.0,0.222222222,0.0,0.666666667,0.0,5,655,685
652,615745,1.0,1.0,0.0,0.0,0.222222222,0.0,0.666666667,0.0,6,685,695
653,615745,1.0,1.0,0.0,0.0,0.222222222,0.0,0.666666667,0.0,7,695,725
657,616571,1.0,1.0,1.0,0.0,0.0,0.0,0.538461538,0.461538462,3,582,642
658,616571,1.0,1.0,1.0,0.0,0.0,0.0,0.538461538,0.461538462,4,642,672
659,616571,1.0,1.0,1.0,0.0,0.0,0.0,0.538461538,0.461538462,5,672,688
660,616571,1.0,1.0,1.0,0.0,0.0,0.0,0.538461538,0.461538462,6,688,682
661,617079,1.0,1.0,0.0,0.0,0.846153846,0.0,0.615384615,0.230769231,3,615,636
662,617079,1.0,1.0,0.0,0.0,0.846153846,0.0,0.615384615,0.230769231,4,636,720
663,617079,1.0,1.0,0.0,0.0,0.846153846,0.0,0.615384615,0.230769231,5,720,673
664,617079,1.0,1.0,0.0,0.0,0.846153846,0.0,0.615384615,0.230769231,6,673,696
665,617079,1.0,1.0,0.0,0.0,0.846153846,0.0,0.615384615,0.230769231,7,696,719
666,618256,1.0,0.0,1.0,0.0,0.0,0.7857142859999999,0.571428571,0.428571429,3,555,574
667,618256,1.0,0.0,1.0,0.0,0.0,0.7857142859999999,0.571428571,0.428571429,4,574,584
668,618256,1.0,0.0,1.0,0.0,0.0,0.7857142859999999,0.571428571,0.428571429,5,584,640
669,618256,1.0,0.0,1.0,0.0,0.0,0.7857142859999999,0.571428571,0.428571429,6,640,628
670,618256,1.0,0.0,1.0,0.0,0.0,0.7857142859999999,0.571428571,0.428571429,7,628,641
671,618824,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.909090909,3,336,401
672,618824,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.909090909,4,401,433
673,618824,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.909090909,5,433,472
674,618824,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.909090909,6,472,525
675,618824,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.909090909,7,525,581
676,618824,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.909090909,8,581,574
677,618824,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.909090909,9,574,605
678,619160,1.0,0.0,0.0,0.0,0.0,0.928571429,0.35714285700000004,0.0,3,545,589
679,619160,1.0,0.0,0.0,0.0,0.0,0.928571429,0.35714285700000004,0.0,6,561,573
680,619160,1.0,0.0,0.0,0.0,0.0,0.928571429,0.35714285700000004,0.0,7,573,596
681,619160,1.0,0.0,0.0,0.0,0.0,0.928571429,0.35714285700000004,0.0,8,596,619
682,619464,1.0,1.0,1.0,0.0,0.7142857140000001,0.0,0.28571428600000004,0.642857143,3,612,633
683,619464,1.0,1.0,1.0,0.0,0.7142857140000001,0.0,0.28571428600000004,0.642857143,4,633,710
684,619464,1.0,1.0,1.0,0.0,0.7142857140000001,0.0,0.28571428600000004,0.642857143,5,710,694
685,619464,1.0,1.0,1.0,0.0,0.7142857140000001,0.0,0.28571428600000004,0.642857143,6,694,755
686,619464,1.0,1.0,1.0,0.0,0.7142857140000001,0.0,0.28571428600000004,0.642857143,7,755,714
687,619464,1.0,1.0,1.0,0.0,0.7142857140000001,0.0,0.28571428600000004,0.642857143,8,714,698
688,620764,0.0,0.0,0.0,0.0,0.0,1.0,0.7142857140000001,0.428571429,4,471,522
689,620764,0.0,0.0,0.0,0.0,0.0,1.0,0.7142857140000001,0.428571429,5,522,556
690,620764,0.0,0.0,0.0,0.0,0.0,1.0,0.7142857140000001,0.428571429,6,556,561
691,620764,0.0,0.0,0.0,0.0,0.0,1.0,0.7142857140000001,0.428571429,7,561,584
692,620764,0.0,0.0,0.0,0.0,0.0,1.0,0.7142857140000001,0.428571429,8,584,650
693,620808,0.0,1.0,0.0,0.0,0.0,0.7857142859999999,0.0,0.928571429,4,446,491
694,620808,0.0,1.0,0.0,0.0,0.0,0.7857142859999999,0.0,0.928571429,5,491,520
695,620808,0.0,1.0,0.0,0.0,0.0,0.7857142859999999,0.0,0.928571429,6,520,528
696,620808,0.0,1.0,0.0,0.0,0.0,0.7857142859999999,0.0,0.928571429,7,528,554
697,620808,0.0,1.0,0.0,0.0,0.0,0.7857142859999999,0.0,0.928571429,8,554,575
698,620898,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.928571429,3,150,180
699,620898,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.928571429,4,180,435
700,620898,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.928571429,5,435,428
701,620898,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.928571429,6,428,300
702,621399,0.0,1.0,1.0,0.0,0.0,0.7692307690000001,0.0,1.0,3,449,510
703,621399,0.0,1.0,1.0,0.0,0.0,0.7692307690000001,0.0,1.0,4,510,564
704,621399,0.0,1.0,1.0,0.0,0.0,0.7692307690000001,0.0,1.0,5,564,560
705,621399,0.0,1.0,1.0,0.0,0.0,0.7692307690000001,0.0,1.0,6,560,562
706,621399,0.0,1.0,1.0,0.0,0.0,0.7692307690000001,0.0,1.0,7,562,603
707,622143,0.0,0.0,0.0,0.0,0.0,0.7142857140000001,0.7857142859999999,0.0,3,540,547
